,Year,Prodcom code,Commodity code,Prodcom Description,Commodity Description
0,2025,07.10.00.10,26011100,Iron ores and concentrates. Non-agglomerated (excluding roasted iron pyrites),Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)
1,2025,07.10.00.20,26011200,Iron ores and concentrates. Agglomerated (excluding roasted iron pyrites),Agglomerated iron ores and concentrates (excl. roasted iron pyrites)
2,2025,07.29.01.00,26030000,Copper ores and concentrates,Copper ores and concentrates
3,2025,07.29.02.00,26040000,Nickel ores and concentrates,Nickel ores and concentrates
4,2025,07.29.03.00,26060000,Aluminium ores and concentrates,Aluminium ores and concentrates
5,2025,07.29.04.10,26161000,Silver ores and concentrates,Silver ores and concentrates
6,2025,07.29.04.20,26169000,Precious metal ores and concentrates (excl. silver ores and concentrates),Precious-metal ores and concentrates (excl. silver ores and oncentrates)
7,2025,07.29.05.10,26070000,Lead ores and concentrates,Lead ores and concentrates
8,2025,07.29.05.20,26080000,Zinc ores and concentrates,Zinc ores and concentrates
9,2025,07.29.05.30,26090000,Tin ores and concentrates,Tin ores and concentrates
10,2025,07.29.09.05,26050000,Cobalt ores and concentrates,Cobalt ores and concentrates
11,2025,07.29.09.10,26100000,Chromium ores and concentrates,Chromium ores and concentrates
12,2025,07.29.09.15,26020000,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight","Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight"
13,2025,07.29.09.20,26110000,Tungsten ores and concentrates,Tungsten ores and concentrates
14,2025,07.29.09.25,26131000,Molybdenum ores and concentrates. Roasted.,Roasted molybdenum ores and concentrates
15,2025,07.29.09.26,26139000,Molybdenum ores and concentrates. Other than roasted,Molybdenum ores and concentrates (excl. roasted)
16,2025,07.29.09.30,26140000,Titanium ores and concentrates,Titanium ores and concentrates
17,2025,07.29.09.35,26151000,Zirconium ores and concentrates,Zirconium ores and concentrates
18,2025,07.29.09.40,26159000,"Niobium, tantalum or vanadium ores and concentrates","Niobium, tantalum or vanadium ores and concentrates"
19,2025,07.29.09.45,26171000,Antimony ores and concentrates,Antimony ores and concentrates
20,2025,07.29.09.90,26179000,Other ores and concentrates n.e.c .,"Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium, precious-metal or antimony ores and concentrates)"
21,2025,08.11.10.10,25201000,Gypsum and anhydrite,"""Gypsum; anhydrite"""
22,2025,08.11.10.20,25210000,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)","""Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"""
23,2025,08.11.20.10,25090000,Chalk,Chalk
24,2025,08.11.20.20,25181000,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)","""Crude dolomite, not calcined or not sintered, incl. dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular """"incl. square"""" shape (excl. broken or crushed dolomite for concrete aggregates, road metalling or "
25,2025,08.11.31.10,25151100,"Marble and travertine, crude or roughly trimmed","Marble and travertine, crude or roughly trimmed"
26,2025,08.11.31.11,25151200,Marble and travertine merely cut into rectangular or square blocks or slabs,"Marble and travertine, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape"
27,2025,08.11.31.20,25152000,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity ≥ 2,5; alabaster","Ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the"
28,2025,08.11.32.10,25062000,"Quartzite (crude, roughly trimmed or merely cut)","Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular shape"
29,2025,08.11.32.20,25161100,"Granite, crude or roughly trimmed","Granite, crude or roughly trimmed (excl. already with the characteristics of setts, curbstones and flagstones)"
30,2025,08.11.32.21,25161200,Granite merely cut into rectangular (including square) blocks or slabs,"Granite, merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. already with the characteristics of setts, curbstones and flagstones)"
31,2025,08.11.32.30,25162000,Sandstone,"Sandstone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. already with the characteristics of setts, curbstones and flagstones)"
32,2025,08.11.32.40,25169000,"Porphyry (crude, whether or not roughly trimmed or merely cut into blocks or slabs of a square or rectangular shape)","Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the c"
33,2025,08.11.32.50,25169000,"Basalt (crude, whether or not roughly trimmed or merely cut into blocks or slabs of a square or rectangular shape)","Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the c"
34,2025,08.11.32.90,25169000,Other monumental or building stone whether or not roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding porphyry and basalt),"Porphyry, basalt and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the c"
35,2025,08.11.40.00,25140000,"Slate, crude, whether or not roughly trimmed or merely cut into rectangular or square blocks or slabs","""Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; slate powder and slate refuse"""
36,2025,08.11.50.10,25171020,"Limestone, dolomite and other calcareous stone, broken or crushed","Broken or crushed dolomite and limestone flux, for concrete aggregates, for road metalling or for railway or other ballast"
37,2025,08.11.50.50,25171080,"Other broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast (excluding pebbles, gravel, shingle, flint, limestone, dolomite and other calcareous stone)","Broken or crushed stone, for concrete aggregates, for road metalling or for railway or other ballast, whether or not heat-treated (excl. pebbles, gravel, flint and shingle, broken or crushed dolomite and limestone flux)"
38,2025,08.11.50.60,25174100,"Granules, chippings and powder of marble","Marble granules, chippings and powder, whether or not heat-treated"
39,2025,08.11.50.90,25174900,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone (excl. marble)","Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, basalt, granite, sandstone, porphyry, syenite, lava, gneiss, trachyte and other rocks of heading 2515 and 2516 (excl. marble)"
