CPA_Ver_22_ID	CPA_Ver_22_Code	CPA_Ver_22_Heading	HS_KEY	HS_2022_CODE	HS_2022_SelfText	Durability_Indicator
"011111"	"01.11.11"	"Durum wheat"	"100111000080"	"1001 11 00"	"Durum wheat seed for sowing"	
"011111"	"01.11.11"	"Durum wheat"	"100119000080"	"1001 19 00"	"Durum wheat (excl. seed for sowing)"	
"011112"	"01.11.12"	"Wheat, except durum wheat"	"100191100080"	"1001 91 10"	"Spelt seed for sowing"	
"011112"	"01.11.12"	"Wheat, except durum wheat"	"100199000080"	"1001 99 00"	"Wheat and meslin (excl. seed for sowing, and durum wheat)"	
"011120"	"01.11.20"	"Maize"	"100510130080"	"1005 10 13"	"Three-cross hybrid maize seed for sowing"	
"011120"	"01.11.20"	"Maize"	"100590000080"	"1005 90 00"	"Maize (excl. seed for sowing)"	
"011131"	"01.11.31"	"Barley"	"100310000080"	"1003 10 00"	"Barley seed for sowing"	
"011131"	"01.11.31"	"Barley"	"100390000080"	"1003 90 00"	"Barley (excl. seed for sowing)"	
"011132"	"01.11.32"	"Rye"	"100210000080"	"1002 10 00"	"Rye seed for sowing"	
"011132"	"01.11.32"	"Rye"	"100290000080"	"1002 90 00"	"Rye (excl. seed for sowing)"	
"011133"	"01.11.33"	"Oats"	"100410000080"	"1004 10 00"	"Oats seed for sowing"	
"011133"	"01.11.33"	"Oats"	"100490000080"	"1004 90 00"	"Oats (excl. seed for sowing)"	
"011141"	"01.11.41"	"Sorghum"	"100710100080"	"1007 10 10"	"Hybrid grain sorghum, for sowing"	
"011141"	"01.11.41"	"Sorghum"	"100790000080"	"1007 90 00"	"Grain sorghum (excl. for sowing)"	
"011142"	"01.11.42"	"Millet"	"100821000080"	"1008 21 00"	"Millet seed for sowing (excl. grain sorghum)"	
"011142"	"01.11.42"	"Millet"	"100829000080"	"1008 29 00"	"Millet (excl. grain sorghum, and seed for sowing)"	
"011143"	"01.11.43"	"Triticale"	"100860000080"	"1008 60 00"	"Triticale"	
"011149"	"01.11.49"	"Other cereals n.e.c."	"100810000080"	"1008 10 00"	"Buckwheat"	
"011149"	"01.11.49"	"Other cereals n.e.c."	"100830000080"	"1008 30 00"	"Canary seed"	
"011149"	"01.11.49"	"Other cereals n.e.c."	"100840000080"	"1008 40 00"	"Fonio "Digitaria spp.""	
"011149"	"01.11.49"	"Other cereals n.e.c."	"100850000080"	"1008 50 00"	"Quinoa "Chenopodium quinoa""	
"011149"	"01.11.49"	"Other cereals n.e.c."	"100890000080"	"1008 90 00"	"Cereals (excl. wheat and meslin, rye, barley, oats, maize, rice, grain sorghum, buckwheat, millet, canary seeds, fonio, quinoa and triticale)"	
