CN8,PC8,PC8_all,n_pc8,years_found,mapping_source,CN8plus,flag,flagyear,in_your_data,resolved_by_harmonizer,status
29031910,20141357,20141357,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29031980,20141357,20141357,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033100,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033911,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033915,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033919,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033921,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033923,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033924,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033925,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033926,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033927,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
